mvelX,mvelY,posX,posY,distance,i
496.218,-86.5135,1.25488e+09,8.82972e+08,3.79713e+08,278
493.667,-111.854,1.25983e+09,8.81978e+08,3.76444e+08,279
490.433,-137.077,1.26476e+09,8.80732e+08,3.72357e+08,280
486.486,-162.289,1.26965e+09,8.79233e+08,3.67459e+08,281
481.783,-187.587,1.2745e+09,8.77482e+08,3.61758e+08,282
476.255,-213.114,1.2793e+09,8.75476e+08,3.5525e+08,283
469.833,-238.93,1.28403e+09,8.73214e+08,3.47946e+08,284
462.441,-265.083,1.28867e+09,8.70706e+08,3.39873e+08,285
453.529,-292.965,1.29342e+09,8.6781e+08,3.30598e+08,286
443.586,-320.608,1.29792e+09,8.6474e+08,3.20812e+08,287
432.082,-349.183,1.3023e+09,8.61389e+08,3.10176e+08,288
418.735,-378.847,1.30656e+09,8.57748e+08,2.98683e+08,289
403.118,-409.895,1.31068e+09,8.53799e+08,2.86283e+08,290
384.744,-442.503,1.31462e+09,8.49536e+08,2.72981e+08,291
